b_decile,fills,wins,pnl,filled,avg_b_ratio,avg_model,avg_be,risk,win_rate,roi
4,24,0,-193.24050000000003,10023.04,1.5162668000081894,0.028501641418192326,0.01875,193.2405,0.0,-1.0000000000000002
5,36,0,-246.15096666,13048.918333,3.020387972072614,0.05519936853427739,0.018333333333333333,246.15096666000002,0.0,-0.9999999999999999
6,36,0,-266.74308878,14553.929439000001,6.036225541961429,0.11233320376725296,0.018611111111111113,266.74308878000005,0.0,-0.9999999999999998
7,30,0,-214.73198079999997,11817.139039999998,11.831729461292232,0.2165035253219303,0.018333333333333333,214.7319808,0.0,-0.9999999999999999
8,35,0,-247.6406954,13796.93977,23.068023030293467,0.4058981260570839,0.017714285714285714,247.6406954,0.0,-1.0
9,28,3,908.3307634000003,9961.19933,47.14484782940684,0.7094461827095339,0.015714285714285715,171.6390866,0.10714285714285714,5.292097396887454
