market_id,ts,side,token_price,token_id,trade_signal,result_win,queue_ahead,filled,fill_fraction,filled_ts,pnl
btc-updown-5m-1772770200,1772770453,UP,0.02,82887012790775373046725033913310929011417124322642390322279609782539875551052,True,False,3344.51,0.0,0.0,,0.0
btc-updown-5m-1772770200,1772770463,UP,0.01,82887012790775373046725033913310929011417124322642390322279609782539875551052,True,False,6266.12,0.0,0.0,,0.0
btc-updown-5m-1772772000,1772772181,UP,0.01,9514896778010508227674578675170271080829711759385191576096943959628056369709,True,False,9129.15,0.0,0.0,,0.0
btc-updown-5m-1772772000,1772772191,UP,0.02,9514896778010508227674578675170271080829711759385191576096943959628056369709,True,False,105.75,363.87,0.72774,1772772225,-7.2774
btc-updown-5m-1772772000,1772772203,UP,0.02,9514896778010508227674578675170271080829711759385191576096943959628056369709,True,False,1529.54,0.0,0.0,,0.0
btc-updown-5m-1772772000,1772772213,UP,0.01,9514896778010508227674578675170271080829711759385191576096943959628056369709,True,False,4644.66,0.0,0.0,,0.0
btc-updown-5m-1772772300,1772772585,DOWN,0.02,35809872265005600036640938446954196363381657215830028201169370964444916217675,True,False,2159.38,0.0,0.0,,0.0
btc-updown-5m-1772773500,1772773751,UP,0.01,13380719682407990997190055089707142890350998715517605090496543827832373017462,True,False,276.22,0.0,0.0,,0.0
btc-updown-5m-1772777100,1772777365,UP,0.01,49213713194837842557637609077435197338882842496177973630225748665085450780720,True,False,308.98,0.0,0.0,,0.0
btc-updown-5m-1772778000,1772778230,DOWN,0.02,16997617832152576960915273946342519058399729461259566990630551704753975603470,True,False,710.01,0.0,0.0,,0.0
btc-updown-5m-1772778300,1772778540,UP,0.02,30060206166914939648883244497756732937555860043142824503271490729778923243312,True,False,2096.77,0.0,0.0,,0.0
btc-updown-5m-1772778300,1772778552,UP,0.01,30060206166914939648883244497756732937555860043142824503271490729778923243312,True,False,7411.07,0.0,0.0,,0.0
btc-updown-5m-1772779500,1772779752,DOWN,0.02,97605689585021228092945541939652096901639836763811956644458052921275036905229,True,False,191.49,276.76,0.55352,1772779787,-5.5352
btc-updown-5m-1772781000,1772781188,UP,0.02,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,304.25,500.0,1.0,1772781203,-10.0
btc-updown-5m-1772781000,1772781198,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,8907.85,0.0,0.0,,0.0
btc-updown-5m-1772781000,1772781208,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,6668.07,0.0,0.0,,0.0
btc-updown-5m-1772781000,1772781218,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,2556.18,0.0,0.0,,0.0
btc-updown-5m-1772781000,1772781229,UP,0.02,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,714.39,500.0,1.0,1772781257,-10.0
btc-updown-5m-1772781000,1772781240,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,1672.64,0.0,0.0,,0.0
btc-updown-5m-1772781000,1772781252,UP,0.02,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,1014.79,500.0,1.0,1772781285,-10.0
btc-updown-5m-1772781000,1772781262,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,1645.55,0.0,0.0,,0.0
btc-updown-5m-1772781000,1772781272,UP,0.01,910186529717044702867408282664986022988916643784440142249784382678783332958,True,False,501.59,0.0,0.0,,0.0
btc-updown-5m-1772781300,1772781504,DOWN,0.02,33108332640635570753043033566084584019506796237440008251084532361468785388153,True,False,3698.33,0.0,0.0,,0.0
btc-updown-5m-1772781300,1772781515,DOWN,0.02,33108332640635570753043033566084584019506796237440008251084532361468785388153,True,False,2449.98,0.0,0.0,,0.0
btc-updown-5m-1772781300,1772781525,DOWN,0.02,33108332640635570753043033566084584019506796237440008251084532361468785388153,True,False,1457.88,0.0,0.0,,0.0
btc-updown-5m-1772781300,1772781535,DOWN,0.02,33108332640635570753043033566084584019506796237440008251084532361468785388153,True,False,1341.71,0.0,0.0,,0.0
btc-updown-5m-1772781600,1772781826,DOWN,0.02,71932996691999763601108433304727894158945148364969350300682097991315292572681,True,False,1939.79,0.0,0.0,,0.0
btc-updown-5m-1772782800,1772782982,DOWN,0.02,64237267204901175569572940788901743593423789951613419927036053001910858976992,True,False,882.7,500.0,1.0,1772783017,-10.0
btc-updown-5m-1772782800,1772782993,DOWN,0.02,64237267204901175569572940788901743593423789951613419927036053001910858976992,True,False,1063.78,500.0,1.0,1772783017,-10.0
btc-updown-5m-1772782800,1772783003,DOWN,0.02,64237267204901175569572940788901743593423789951613419927036053001910858976992,True,False,626.2,51.26999999999991,0.10253999999999983,1772783017,-1.0253999999999983
btc-updown-5m-1772782800,1772783016,DOWN,0.01,64237267204901175569572940788901743593423789951613419927036053001910858976992,True,False,7600.16,0.0,0.0,,0.0
btc-updown-5m-1772783700,1772783969,UP,0.02,60151385879784576592195685729445721582418386667074817277074360461454788316342,True,False,3279.73,0.0,0.0,,0.0
btc-updown-5m-1772785200,1772785394,UP,0.02,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,4237.42,0.0,0.0,,0.0
btc-updown-5m-1772785200,1772785414,UP,0.02,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,352.22,239.83999999999997,0.47967999999999994,1772785459,-4.796799999999999
btc-updown-5m-1772785200,1772785424,UP,0.02,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,710.91,0.0,0.0,,0.0
btc-updown-5m-1772785200,1772785434,UP,0.02,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,946.03,0.0,0.0,,0.0
btc-updown-5m-1772785200,1772785444,UP,0.02,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,985.98,0.0,0.0,,0.0
btc-updown-5m-1772785200,1772785454,UP,0.01,17287660416814771621278185779880992495405619696677552708886268030570075785313,True,False,2596.89,0.0,0.0,,0.0
btc-updown-5m-1772787300,1772787566,UP,0.01,92000058354698566833544142961748813701649837690558293153866599406921242037290,True,False,1514.39,109.51999999999988,0.21903999999999976,1772787577,-1.0951999999999988
