price_bucket,fills,wins,pnl,filled,avg_b_ratio,avg_model,avg_be,risk,win_rate,roi
1c,39,0,-123.877,12387.7,24.654084851647525,0.24654084851647526,0.01,123.87700000000001,0.0,-0.9999999999999999
2c,150,3,-136.2994682399997,60813.465912,12.555384064090656,0.25110768128181316,0.02,1216.2693182399998,0.02,-0.11206355878254956
