key,observations,trades,wins,win_rate,wilson_low,wilson_high,break_even,edge_abs,posterior_prob_edge_positive
0,9,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1,8,0,0,0.0,0.0,1.0,0.0,0.0,0.0
2,8,0,0,0.0,0.0,1.0,0.0,0.0,0.0
3,9,0,0,0.0,0.0,1.0,0.0,0.0,0.0
4,8,5,0,0.0,0.0,0.43449149475208104,0.014899999648332597,-0.014899999648332597,0.9138647279085818
5,8,8,0,0.0,0.0,0.3244156195108769,0.014937499654479325,-0.014937499654479325,0.8733213527096855
6,9,9,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,0.014999999664723873,0.09611111144638723,0.9906538602631338
7,8,8,0,0.0,0.0,0.3244156195108769,0.014999999664723873,-0.014999999664723873,0.8728227866932727
8,8,8,3,0.375,0.13684175946152105,0.6942621454161981,0.014999999664723873,0.3600000003352761,0.9999939945296173
9,8,8,5,0.625,0.30573785458380187,0.863158240538479,0.014999999664723873,0.6100000003352761,0.999999999079611
