market_id,ts,window_start_ts,window_end_ts,side,token_price,chainlink_open_price,chainlink_ref_price,chainlink_close_price,binance_mid_price,sigma_intraround_per_s,sigma_hourly_per_s,hour_return,orderbook_imbalance,bid_depth_1,ask_depth_1,source,condition_id,token_id,settled_side,queue_ahead,best_ask
btc-updown-5m-1773100800,1773101089,1773100800,1773101100,DOWN,0.02,68436.14,68460.57,68436.20843613999,68460.57,5.5091496055583964e-05,7.745966692414833e-06,0.0,-0.217246467171659,2952.93,114.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x14f9bae13d06188ad99ebc5f915a54508dcc87debba66c383bfd039d6648eafa,81581307548314330992910663399763658654034400932194721632822405402116732846871,UP,2952.93,0.9
btc-updown-5m-1773101400,1773101682,1773101400,1773101700,UP,0.02,68440.97,68415.0,68440.90155903,68415.0,8.089082224922631e-05,6.377631476835765e-05,0.0,-0.601178719265971,1748.24,129.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0xa16aedc28c7720ff507b6959e0e898db7dea102034814465afc708b7d1f709aa,74916367936643573763404997448937420021268144235133677193771994887915958684362,DOWN,1748.24,0.9
btc-updown-5m-1773101700,1773101894,1773101700,1773102000,DOWN,0.02,68426.09,68619.31,68426.15842609,68619.31,0.00013896390809714076,8.342361990153594e-05,0.0,-0.18496885610523503,4565.92,280.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x6edfecf3faac7552b5a1d96a5b5134018b77f1559949b4502c948906efe694a2,29763605163403761678218952943562735815406060444356579254164477406033477849832,UP,4565.92,0.9
btc-updown-5m-1773101700,1773101905,1773101700,1773102000,DOWN,0.02,68426.09,68619.31,68426.15842609,68619.31,0.00013896390809714076,8.342361990153594e-05,0.0,-0.31101194667653836,491.74,280.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x6edfecf3faac7552b5a1d96a5b5134018b77f1559949b4502c948906efe694a2,29763605163403761678218952943562735815406060444356579254164477406033477849832,UP,491.74,0.9
btc-updown-5m-1773102000,1773102283,1773102000,1773102300,DOWN,0.02,68629.01,68718.39,68629.07862901,68718.39,8.188767938657958e-05,8.144095588036684e-05,0.0,-0.5065825864765203,255.39,124.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x34bd66275e11574e8120b45fe206248f33397cbfb828d4f081944dd92fd542ed,89963811836269625742978960960134573550080306074581491596066664796684722881678,UP,255.39,0.9
btc-updown-5m-1773102300,1773102481,1773102300,1773102600,DOWN,0.01,68736.14,68923.89,68736.20873613999,68923.89,8.007784119504899e-05,8.545807744449184e-05,0.0,-0.6601392653445767,4119.61,240.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x71180c884837a5d841c035eaf0767a530ce3da9c46e1b4995e8c013870a69eb7,81964510226504044240992246579480507475408669792667863630631518024842439397317,UP,4119.61,0.9
btc-updown-5m-1773102300,1773102493,1773102300,1773102600,DOWN,0.01,68736.14,68923.89,68736.20873613999,68923.89,8.007784119504899e-05,8.545807744449184e-05,0.0,-0.7827936113118151,2459.05,240.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x71180c884837a5d841c035eaf0767a530ce3da9c46e1b4995e8c013870a69eb7,81964510226504044240992246579480507475408669792667863630631518024842439397317,UP,2459.05,0.9
btc-updown-5m-1773102300,1773102521,1773102300,1773102600,DOWN,0.01,68736.14,68923.89,68736.20873613999,68923.89,8.007784119504899e-05,8.545807744449184e-05,0.0,-0.9312338918395464,700.52,240.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x71180c884837a5d841c035eaf0767a530ce3da9c46e1b4995e8c013870a69eb7,81964510226504044240992246579480507475408669792667863630631518024842439397317,UP,700.52,0.9
btc-updown-5m-1773102600,1773102874,1773102600,1773102900,DOWN,0.02,68912.13,69071.96,68912.19891213,69071.96,0.00010405646413114547,8.625383860889933e-05,0.0,-0.055162933513036694,1126.97,159.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x57f483a1e4ac6a5f04b410962672f07bb0dd323744f0171eae6cbfc23e0a59ef,39698102891078250224542589724385330570794329128743327668354448398388647656664,UP,1126.97,0.9
btc-updown-5m-1773102600,1773102887,1773102600,1773102900,DOWN,0.01,68912.13,69071.96,68912.19891213,69071.96,0.00010405646413114547,8.625383860889933e-05,0.0,-0.23201448415677528,11406.19,129.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x57f483a1e4ac6a5f04b410962672f07bb0dd323744f0171eae6cbfc23e0a59ef,39698102891078250224542589724385330570794329128743327668354448398388647656664,UP,11406.19,0.9
btc-updown-5m-1773102900,1773103153,1773102900,1773103200,DOWN,0.02,69160.96,69204.96,69161.02916096,69204.96,0.00012394152264664333,9.017546305218996e-05,0.0,-0.2281971032059811,380.56,200.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0xf6c11067724a3bd883d405f1bd0f2cc698bf52ef11693e4fbf61ccdca57a60d2,37738623587192852751052530280598938194214210858134929247056325731679651552993,UP,380.56,0.9
btc-updown-5m-1773103500,1773103759,1773103500,1773103800,DOWN,0.02,69170.03,69239.4,69170.09917003,69239.4,9.811474751245267e-05,8.950343544096757e-05,0.0,-0.29115333741584043,1913.86,190.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x4e970bbaea6791f4be2abf7ef7a2f62e73f8e24d3255d1f923992375ec3e25f2,594595152324457850223317988391405104414325285329789912945109307521771492513,UP,1913.86,0.9
btc-updown-5m-1773103500,1773103773,1773103500,1773103800,DOWN,0.02,69170.03,69239.4,69170.09917003,69239.4,9.811474751245267e-05,8.950343544096757e-05,0.0,-0.32197933426344183,688.23,184.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x4e970bbaea6791f4be2abf7ef7a2f62e73f8e24d3255d1f923992375ec3e25f2,594595152324457850223317988391405104414325285329789912945109307521771492513,UP,688.23,0.9
btc-updown-5m-1773103500,1773103783,1773103500,1773103800,DOWN,0.01,69170.03,69239.4,69170.09917003,69239.4,9.811474751245267e-05,8.950343544096757e-05,0.0,-0.37595214631677004,8333.56,134.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x4e970bbaea6791f4be2abf7ef7a2f62e73f8e24d3255d1f923992375ec3e25f2,594595152324457850223317988391405104414325285329789912945109307521771492513,UP,8333.56,0.9
