market_id,ts,window_start_ts,window_end_ts,side,token_price,chainlink_open_price,chainlink_ref_price,chainlink_close_price,binance_mid_price,sigma_intraround_per_s,sigma_hourly_per_s,hour_return,orderbook_imbalance,bid_depth_1,ask_depth_1,source,condition_id,token_id,settled_side,queue_ahead,best_ask
btc-updown-5m-1773187200,1773187435,1773187200,1773187500,UP,0.02,69842.02,69842.1,69841.95015798,69842.1,1.0794380397419424e-05,7.745966692414833e-06,0.0,-0.025920884388284403,4956.58,255.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x89dd747f6c68ff29826df83581687bc5d0de51c503aefad51b11b94601786b1f,104596762520013274632475841661484123176159818104944211037714691189129537221841,DOWN,4956.58,0.9
btc-updown-5m-1773187200,1773187445,1773187200,1773187500,UP,0.02,69842.02,69842.1,69841.95015798,69842.1,1.0794380397419424e-05,7.745966692414833e-06,0.0,0.5122745211798527,30520.82,217.83,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x89dd747f6c68ff29826df83581687bc5d0de51c503aefad51b11b94601786b1f,104596762520013274632475841661484123176159818104944211037714691189129537221841,DOWN,30520.82,0.9
btc-updown-5m-1773187200,1773187455,1773187200,1773187500,UP,0.01,69842.02,69842.1,69841.95015798,69842.1,1.0794380397419424e-05,7.745966692414833e-06,0.0,-0.2425345943145508,7551.54,237.83,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x89dd747f6c68ff29826df83581687bc5d0de51c503aefad51b11b94601786b1f,104596762520013274632475841661484123176159818104944211037714691189129537221841,DOWN,7551.54,0.9
btc-updown-5m-1773187500,1773187699,1773187500,1773187800,DOWN,0.02,69793.29,69889.66,69793.35979328999,69889.66,0.00011574434060771298,9.466557064449486e-05,0.0,-0.2586799898627856,448.46,262.6,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9abd2e9ab7a1713edb54bff44103138dc68efacb1c7f19a417d0d481c6bdf0c0,66265201643888168035981340898325657599176714890179860433367272579188837148454,UP,448.46,0.9
btc-updown-5m-1773187500,1773187719,1773187500,1773187800,DOWN,0.02,69793.29,69889.66,69793.35979328999,69889.66,0.00011574434060771298,9.466557064449486e-05,0.0,-0.20108030134113844,1000.72,262.6,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9abd2e9ab7a1713edb54bff44103138dc68efacb1c7f19a417d0d481c6bdf0c0,66265201643888168035981340898325657599176714890179860433367272579188837148454,UP,1000.72,0.9
btc-updown-5m-1773187500,1773187730,1773187500,1773187800,DOWN,0.01,69793.29,69889.66,69793.35979328999,69889.66,0.00011574434060771298,9.466557064449486e-05,0.0,-0.3733280517594244,5695.32,262.6,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9abd2e9ab7a1713edb54bff44103138dc68efacb1c7f19a417d0d481c6bdf0c0,66265201643888168035981340898325657599176714890179860433367272579188837148454,UP,5695.32,0.9
btc-updown-5m-1773187500,1773187741,1773187500,1773187800,DOWN,0.01,69793.29,69973.75,69793.35979328999,69973.75,0.0001293449934847273,0.00010112056316933866,0.0,-0.7508937126916693,1771.69,242.6,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9abd2e9ab7a1713edb54bff44103138dc68efacb1c7f19a417d0d481c6bdf0c0,66265201643888168035981340898325657599176714890179860433367272579188837148454,UP,1771.69,0.9
btc-updown-5m-1773187500,1773187751,1773187500,1773187800,DOWN,0.01,69793.29,69973.75,69793.35979328999,69973.75,0.0001293449934847273,0.00010112056316933866,0.0,-0.9092745070005493,580.63,162.6,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9abd2e9ab7a1713edb54bff44103138dc68efacb1c7f19a417d0d481c6bdf0c0,66265201643888168035981340898325657599176714890179860433367272579188837148454,UP,580.63,0.9
btc-updown-5m-1773187800,1773188078,1773187800,1773188100,DOWN,0.01,69916.44,70050.08,69916.50991644,70050.08,0.00011782667668646681,0.0001029262578159497,0.0,-0.36269163809021354,6040.09,140.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x227a70c68bb0efa716ef63f2261d5e9fd19a006c08e50cdb01d6a156e410a295,90663621106376872112804654829031242026185124180013679521479022966909568308177,UP,6040.09,0.9
btc-updown-5m-1773187800,1773188088,1773187800,1773188100,DOWN,0.02,69916.44,70050.08,69916.50991644,70050.08,0.00011782667668646681,0.0001029262578159497,0.0,-0.8008475346925413,355.16,135.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x227a70c68bb0efa716ef63f2261d5e9fd19a006c08e50cdb01d6a156e410a295,90663621106376872112804654829031242026185124180013679521479022966909568308177,UP,355.16,0.9
btc-updown-5m-1773188100,1773188322,1773188100,1773188400,UP,0.02,69987.3,69888.38,69987.2300127,69888.38,7.797869574646668e-05,0.00010642822594003524,0.0,0.3501097553341227,20543.16,10800.62,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x80097dd68ab7badc2d77fd9bf2b3689a6e00d6c1e8261232c078ab10f715abaa,114905932219188782837018027523729981359120458614956980386340304992026897882647,DOWN,20543.16,0.9
btc-updown-5m-1773188100,1773188335,1773188100,1773188400,UP,0.01,69987.3,69888.38,69987.2300127,69888.38,7.797869574646668e-05,0.00010642822594003524,0.0,-0.2487625109856274,8624.89,10740.18,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x80097dd68ab7badc2d77fd9bf2b3689a6e00d6c1e8261232c078ab10f715abaa,114905932219188782837018027523729981359120458614956980386340304992026897882647,DOWN,8624.89,0.9
btc-updown-5m-1773188100,1773188356,1773188100,1773188400,UP,0.01,69987.3,70028.25,69987.2300127,70028.25,0.00016544794635080443,0.00011924262925783085,0.0,-0.9915192770683163,58.58,10640.18,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x80097dd68ab7badc2d77fd9bf2b3689a6e00d6c1e8261232c078ab10f715abaa,114905932219188782837018027523729981359120458614956980386340304992026897882647,DOWN,58.58,0.9
btc-updown-5m-1773188100,1773188366,1773188100,1773188400,UP,0.01,69987.3,70028.25,69987.2300127,70028.25,0.00016544794635080443,0.00011924262925783085,0.0,-0.5979990700584757,3488.55,10640.18,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x80097dd68ab7badc2d77fd9bf2b3689a6e00d6c1e8261232c078ab10f715abaa,114905932219188782837018027523729981359120458614956980386340304992026897882647,DOWN,3488.55,0.9
btc-updown-5m-1773189000,1773189190,1773189000,1773189300,UP,0.01,70045.35,69872.68,70045.27995465,69872.68,9.011110034981364e-05,0.00010907650475367882,0.0,-0.23163163673389026,9346.16,230.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x042f6c2de03c89b7e59a5dcdba503245ab37de1449d8b93c4baecb4342897dbd,104087582807075036393739462039222564829570382590504766333279103058677850681077,DOWN,9346.16,0.9
btc-updown-5m-1773189000,1773189200,1773189000,1773189300,UP,0.01,70045.35,69872.68,70045.27995465,69872.68,9.011110034981364e-05,0.00010907650475367882,0.0,-0.35583589994289017,7089.1,250.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x042f6c2de03c89b7e59a5dcdba503245ab37de1449d8b93c4baecb4342897dbd,104087582807075036393739462039222564829570382590504766333279103058677850681077,DOWN,7089.1,0.9
btc-updown-5m-1773189000,1773189210,1773189000,1773189300,UP,0.01,70045.35,69872.68,70045.27995465,69872.68,9.011110034981364e-05,0.00010907650475367882,0.0,-0.7713869516970383,1831.49,250.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x042f6c2de03c89b7e59a5dcdba503245ab37de1449d8b93c4baecb4342897dbd,104087582807075036393739462039222564829570382590504766333279103058677850681077,DOWN,1831.49,0.9
btc-updown-5m-1773189600,1773189851,1773189600,1773189900,UP,0.01,69928.36,69838.71,69928.29007164,69838.71,7.362233097893803e-05,0.00010262456523636268,0.0,-0.3093773023342618,6364.91,156.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x181c585a8ca7bf304e064ed094c94909fbbfa40153db96f5adf9dc69e7a4c241,57386740224894828626880729837826683086798854758908075476541837851962990236579,DOWN,6364.91,0.9
btc-updown-5m-1773189900,1773190088,1773189900,1773190200,DOWN,0.02,69965.78,69955.19,69965.84996578,69955.19,0.00011285826953483774,0.00010461133809422938,0.0,0.3418079048005215,18594.98,10254.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9f6aeab5eec944b98fde7745db579feb622ba5a7b868584e1b51289c52823f95,17010155982553425027074863331555329513963098778775629069625589174205217836669,UP,18594.98,0.9
btc-updown-5m-1773189900,1773190098,1773189900,1773190200,DOWN,0.02,69965.78,69955.19,69965.84996578,69955.19,0.00011285826953483774,0.00010461133809422938,0.0,0.2891647570055745,15342.57,10254.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9f6aeab5eec944b98fde7745db579feb622ba5a7b868584e1b51289c52823f95,17010155982553425027074863331555329513963098778775629069625589174205217836669,UP,15342.57,0.9
btc-updown-5m-1773189900,1773190108,1773189900,1773190200,DOWN,0.02,69965.78,69955.19,69965.84996578,69955.19,0.00011285826953483774,0.00010461133809422938,0.0,0.2389556484302534,12782.38,10254.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9f6aeab5eec944b98fde7745db579feb622ba5a7b868584e1b51289c52823f95,17010155982553425027074863331555329513963098778775629069625589174205217836669,UP,12782.38,0.9
btc-updown-5m-1773189900,1773190169,1773189900,1773190200,DOWN,0.01,69965.78,69973.24,69965.84996578,69973.24,0.00011177845013805557,0.00010352874274743498,0.0,-0.1015456237388972,9130.44,110.55,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x9f6aeab5eec944b98fde7745db579feb622ba5a7b868584e1b51289c52823f95,17010155982553425027074863331555329513963098778775629069625589174205217836669,UP,9130.44,0.91
btc-updown-5m-1773190200,1773190453,1773190200,1773190500,DOWN,0.02,69973.24,70116.09,69973.30997324,70116.09,0.0001387392672146242,0.00010804017183487622,0.0,-0.13715759948046513,33849.23,88.33,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x669a92453d2b10ec5faa286232b4f3ffb4a0ff369a1ceb25de1f601977894e8c,86333680161258853663690314486627660747008371008464075770356150961019816400757,UP,33849.23,0.91
btc-updown-5m-1773190200,1773190473,1773190200,1773190500,DOWN,0.02,69973.24,70116.09,69973.30997324,70116.09,0.0001387392672146242,0.00010804017183487622,0.0,-0.8038667648159825,1146.24,88.33,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x669a92453d2b10ec5faa286232b4f3ffb4a0ff369a1ceb25de1f601977894e8c,86333680161258853663690314486627660747008371008464075770356150961019816400757,UP,1146.24,0.91
btc-updown-5m-1773190500,1773190780,1773190500,1773190800,UP,0.02,70135.74,70044.87,70135.66986426001,70044.87,4.935196879536178e-05,0.00010432413821452575,0.0,-0.43616397492898246,191.66,145.99,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0xf62aaabe0d7b48d95df53d3b910c4ff4dc2bb3db070f26989202b3f39e059e1b,67670833049219372472839826679534443850232335540380882096527254094936593278640,DOWN,191.66,0.9
btc-updown-5m-1773192600,1773192876,1773192600,1773192900,UP,0.02,70030.32,70060.7,70030.24996968001,70060.7,6.447304571407847e-05,9.24610210686199e-05,0.0002191197319660887,-0.04715514312437039,3340.55,138.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x703ba2d9f2748714cbeb048a32056a909ba25e8f346e8529885181e1d48fd371,27644204018399927273894240354452359264569255549715746590234661740997813863571,DOWN,3340.55,0.9
btc-updown-5m-1773192600,1773192886,1773192600,1773192900,UP,0.01,70030.32,70060.7,70030.24996968001,70060.7,6.447304571407847e-05,9.24610210686199e-05,0.0002191197319660887,-0.685816998660952,2232.52,158.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x703ba2d9f2748714cbeb048a32056a909ba25e8f346e8529885181e1d48fd371,27644204018399927273894240354452359264569255549715746590234661740997813863571,DOWN,2232.52,0.9
btc-updown-5m-1773192900,1773193088,1773192900,1773193200,UP,0.02,69948.01,69920.72,69947.94005199,69920.72,0.00010602678731882733,9.179073923521509e-05,0.00039066152108269137,-0.050779085616683976,3972.85,227.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x6f5fde925761ebb9cdc9ca9934b28db44d406e1ac842c3b3b968cf42a78917dd,85577796868733204435709541078754505082582950440880801618499148272107727230458,DOWN,3972.85,0.9
btc-updown-5m-1773192900,1773193110,1773192900,1773193200,UP,0.01,69948.01,69920.72,69947.94005199,69920.72,0.00010602678731882733,9.179073923521509e-05,0.00039066152108269137,-0.981619541212609,132.0,247.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x6f5fde925761ebb9cdc9ca9934b28db44d406e1ac842c3b3b968cf42a78917dd,85577796868733204435709541078754505082582950440880801618499148272107727230458,DOWN,132.0,0.9
btc-updown-5m-1773193200,1773193475,1773193200,1773193500,DOWN,0.02,69902.1,69955.98,69902.1699021,69955.98,5.2440192301745816e-05,8.884219280692109e-05,0.00039489767559253153,-0.08049371859035913,2418.66,127.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x7c51930c31ae6374e8f71e4d9baa72864ca4ce546f884c1263a0b0b2d216e5b8,58744278623452723773037307108292979528323547134314591073619585374561823536166,UP,2418.66,0.9
btc-updown-5m-1773193200,1773193486,1773193200,1773193500,DOWN,0.01,69902.1,69955.98,69902.1699021,69955.98,5.2440192301745816e-05,8.884219280692109e-05,0.00039489767559253153,-0.8310758610602866,1166.52,137.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x7c51930c31ae6374e8f71e4d9baa72864ca4ce546f884c1263a0b0b2d216e5b8,58744278623452723773037307108292979528323547134314591073619585374561823536166,UP,1166.52,0.9
btc-updown-5m-1773193500,1773193788,1773193500,1773193800,DOWN,0.01,69942.9,69990.53,69942.96994289999,69990.53,4.368903338779278e-05,8.229361784726404e-05,0.00035368180624395507,-0.2599017692430427,7676.68,160.93,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0xe3d8711125c06c0a5cba05867a5009c0105ea25166da8ccbc71eacc0a2ef838f,80176389827447183362362899801154132174542697305625450080670615719952390010365,UP,7676.68,0.9
btc-updown-5m-1773193800,1773194055,1773193800,1773194100,DOWN,0.02,70044.65,70069.51,70044.72004464999,70069.51,4.0876029479792725e-05,8.272950226321538e-05,0.0013748661057366718,-0.018015762990347038,5204.39,147.0,hf_brock_public_smoke:binance_ref:gamma_price_to_beat:resolution_label,0x1f1d71b05d0e925ab5f4630150393c4502247fe596cd8687453370df70fad47f,59028689547630722044418974739226659770062087706190090874137012778718854432745,UP,5204.39,0.9
